COUNTRY,COVID_VACCINE_ADM_TOT_A1D,COVID_VACCINE_ADM_TOT_BOOST,COVID_VACCINE_ADM_TOT_CPS,COVID_VACCINE_ADM_TOT_DOSES,COVID_VACCINE_ADM_TOT_DOSES_PER100,COVID_VACCINE_COV_TOT_A1D,COVID_VACCINE_COV_TOT_BOOST,COVID_VACCINE_COV_TOT_CPS,COVID_VACCINE_DATE_INTRO_FIRST,COVID_VACCINE_DATE_REPORT_TOT_LAST,DATE
LTU,1951107.000000000,890033.000000000,1901087.000000000,4472584.000000000,160.000000000,70.000000000,32.000000000,68.000000000,2020-12-23,2023-12-23,2022-05-29
LTU,1951736.000000000,891798.000000000,1902097.000000000,4475972.000000000,160.000000000,70.000000000,32.000000000,68.000000000,2020-12-23,2023-12-23,2022-06-26
LTU,1952710.000000000,894202.000000000,1902952.000000000,4480190.000000000,160.000000000,70.000000000,32.000000000,68.000000000,2020-12-23,2023-12-23,2022-07-31
LTU,1953778.000000000,895844.000000000,1903999.000000000,4484672.000000000,161.000000000,70.000000000,32.000000000,68.000000000,2020-12-23,2023-12-23,2022-08-28
LTU,1954603.000000000,896987.000000000,1904844.000000000,4489157.000000000,161.000000000,70.000000000,32.000000000,68.000000000,2020-12-23,2023-12-23,2022-09-25
LTU,1955085.000000000,898642.000000000,1905519.000000000,4503727.000000000,161.000000000,70.000000000,32.000000000,68.000000000,2020-12-23,2023-12-23,2022-10-30
LTU,1955494.000000000,900181.000000000,1906002.000000000,4519346.000000000,162.000000000,70.000000000,32.000000000,68.000000000,2020-12-23,2023-12-23,2022-11-27
LTU,1955740.000000000,901064.000000000,1906318.000000000,4526251.000000000,162.000000000,70.000000000,32.000000000,68.000000000,2020-12-23,2023-12-23,2022-12-25
LTU,1956002.000000000,901562.000000000,1906527.000000000,4529624.000000000,162.000000000,70.000000000,32.000000000,68.000000000,2020-12-23,2023-12-23,2023-01-29
LTU,1956186.000000000,901749.000000000,1906690.000000000,4530820.000000000,162.000000000,70.000000000,32.000000000,68.000000000,2020-12-23,2023-12-23,2023-02-26
LTU,1956331.000000000,901894.000000000,1906846.000000000,4531641.000000000,162.000000000,70.000000000,32.000000000,68.000000000,2020-12-23,2023-12-23,2023-03-26
LTU,1956420.000000000,901991.000000000,1906968.000000000,4532116.000000000,162.000000000,70.000000000,32.000000000,68.000000000,2020-12-23,2023-12-23,2023-04-30
LTU,1956461.000000000,902037.000000000,1907033.000000000,4532342.000000000,162.000000000,70.000000000,32.000000000,68.000000000,2020-12-23,2023-12-23,2023-05-28
LTU,1956471.000000000,902055.000000000,1907047.000000000,4532421.000000000,162.000000000,70.000000000,32.000000000,68.000000000,2020-12-23,2023-12-23,2023-06-25
LTU,1956478.000000000,902070.000000000,1907053.000000000,4532480.000000000,162.000000000,70.000000000,32.000000000,68.000000000,2020-12-23,2023-12-23,2023-07-30
LTU,1956485.000000000,902086.000000000,1907058.000000000,4532539.000000000,162.000000000,70.000000000,32.000000000,68.000000000,2020-12-23,2023-12-23,2023-08-27
LTU,1956489.000000000,902100.000000000,1907061.000000000,4532628.000000000,162.000000000,70.000000000,32.000000000,68.000000000,2020-12-23,2023-12-23,2023-09-24
LTU,1960786.000000000,902103.000000000,1907061.000000000,4532649.000000000,162.000000000,70.000000000,32.000000000,68.000000000,2020-12-23,2023-12-23,2023-10-29
LTU,1960786.000000000,902103.000000000,1907061.000000000,4532649.000000000,162.000000000,70.000000000,32.000000000,68.000000000,2020-12-23,2023-12-23,2023-11-26
LSO,,,,15818.000000000,1.000000000,,,,2021-03-10,2023-12-31,2021-03-28
LSO,17598.000000000,,,17598.000000000,1.000000000,1.000000000,,,2021-03-10,2023-12-31,2021-04-25
LSO,36637.000000000,,,36637.000000000,2.000000000,2.000000000,,,2021-03-10,2023-12-31,2021-05-30
LSO,36637.000000000,,18468.000000000,42261.000000000,2.000000000,2.000000000,,1.000000000,2021-03-10,2023-12-31,2021-06-27
LSO,39218.000000000,,32181.000000000,72948.000000000,3.000000000,2.000000000,,2.000000000,2021-03-10,2023-12-31,2021-07-25
LSO,74848.000000000,,59122.000000000,223655.000000000,10.000000000,3.000000000,,3.000000000,2021-03-10,2023-12-31,2021-08-29
LSO,326791.000000000,,318486.000000000,362104.000000000,17.000000000,15.000000000,,15.000000000,2021-03-10,2023-12-31,2021-09-26
LSO,516547.000000000,,502251.000000000,529638.000000000,25.000000000,24.000000000,,23.000000000,2021-03-10,2023-12-31,2021-10-31
LSO,609598.000000000,,600842.000000000,628944.000000000,29.000000000,28.000000000,,28.000000000,2021-03-10,2023-12-31,2021-11-28
LSO,782175.000000000,,727528.000000000,857925.000000000,40.000000000,37.000000000,,34.000000000,2021-03-10,2023-12-31,2021-12-26
LSO,782175.000000000,,727528.000000000,857925.000000000,40.000000000,37.000000000,,34.000000000,2021-03-10,2023-12-31,2022-01-30
LSO,782175.000000000,,727528.000000000,875573.000000000,41.000000000,37.000000000,,34.000000000,2021-03-10,2023-12-31,2022-02-27
LSO,834669.000000000,,730326.000000000,915264.000000000,43.000000000,39.000000000,,34.000000000,2021-03-10,2023-12-31,2022-03-27
LSO,933825.000000000,,735610.000000000,933825.000000000,44.000000000,44.000000000,,34.000000000,2021-03-10,2023-12-31,2022-04-24
LSO,938680.000000000,,739962.000000000,948906.000000000,44.000000000,44.000000000,,35.000000000,2021-03-10,2023-12-31,2022-05-29
LSO,945014.000000000,26450.000000000,847837.000000000,1054802.000000000,49.000000000,44.000000000,1.000000000,40.000000000,2021-03-10,2023-12-31,2022-06-26
LSO,951558.000000000,52603.000000000,856618.000000000,1089592.000000000,51.000000000,44.000000000,2.000000000,40.000000000,2021-03-10,2023-12-31,2022-07-31
LSO,958102.000000000,61789.000000000,872605.000000000,1102069.000000000,51.000000000,45.000000000,3.000000000,41.000000000,2021-03-10,2023-12-31,2022-08-28
LSO,964435.000000000,61789.000000000,885318.000000000,1102069.000000000,51.000000000,45.000000000,3.000000000,41.000000000,2021-03-10,2023-12-31,2022-09-25
LSO,970979.000000000,61789.000000000,898456.000000000,1102069.000000000,51.000000000,45.000000000,3.000000000,42.000000000,2021-03-10,2023-12-31,2022-10-30
LSO,996716.000000000,132586.000000000,924973.000000000,1249570.000000000,58.000000000,47.000000000,6.000000000,43.000000000,2021-03-10,2023-12-31,2022-11-27
LSO,999551.000000000,145816.000000000,926574.000000000,1277382.000000000,60.000000000,47.000000000,7.000000000,43.000000000,2021-03-10,2023-12-31,2022-12-25
LSO,1004189.000000000,159214.000000000,929937.000000000,1304996.000000000,61.000000000,47.000000000,7.000000000,43.000000000,2021-03-10,2023-12-31,2023-01-29
LSO,1010148.000000000,170820.000000000,934379.000000000,1325972.000000000,62.000000000,47.000000000,8.000000000,44.000000000,2021-03-10,2023-12-31,2023-02-26
LSO,1014073.000000000,177816.000000000,938088.000000000,1339097.000000000,63.000000000,47.000000000,8.000000000,44.000000000,2021-03-10,2023-12-31,2023-03-26
LSO,1014073.000000000,177816.000000000,938088.000000000,1339097.000000000,63.000000000,47.000000000,8.000000000,44.000000000,2021-03-10,2023-12-31,2023-04-30
LSO,1014073.000000000,177816.000000000,938088.000000000,1339097.000000000,63.000000000,47.000000000,8.000000000,44.000000000,2021-03-10,2023-12-31,2023-05-28
LSO,1014073.000000000,177816.000000000,938088.000000000,1339097.000000000,63.000000000,47.000000000,8.000000000,44.000000000,2021-03-10,2023-12-31,2023-06-25
